,faixa_etaria,genero,cidade,faixa_salarial,flag_filho,faixa_etaria_filho,dificuldade_infantil,reciclagem_tecido,objetivo_compra,dificuldade_compra,compra_roupa_usada,forma_trocou,seguranca_aplicativo,target
211,Entre 25 e 34 anos,Feminino,Sao Paulo,"Classe B: entre R$7,1 mil e R$ 22 mil",Não,Nao tem filhos,Preco;Qualidade;,Não,Comprar mais barato,Preco;Qualidade;,Sim,Doou;Recebeu;,Sim,Sim
212,60+,Masculino,Sao Paulo,Classe A: superior a R$ 22 mil,Sim,Entre 25 e 34 anos;,Qualidade;,Não,Comprar mais barato,Qualidade;,Sim,Doou;,Sim,Sim
213,60+,Feminino,Sao Paulo,"Classe B: entre R$7,1 mil e R$ 22 mil",Sim,Entre 35 e 44 anos;,Preço;,Não,Comprar mais barato,Qualidade;,Não,Recebeu;,Não,Sim
214,Entre 18 e 24 anos,Feminino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Preco;Qualidade;,Não,Chegue mais rápido,Preco;Qualidade;,Sim,Doou;,Sim,Sim
215,Entre 45 e 54 anos,Masculino,São Bernardo do Campo,"Classe B: entre R$7,1 mil e R$ 22 mil",Sim,Menos de 8 anos;Entre 9 e 14 anos;,Preco;Qualidade;Crescimento;,Não,Comprar mais barato,Preco;Qualidade;,Não,Doou;,Sim,Sim
216,Entre 35 e 44 anos,Feminino,Sao Paulo,"Classe B: entre R$7,1 mil e R$ 22 mil",Sim,Menos de 8 anos;,Preço;,Não,Chegue mais rápido,Preço;,Sim,Doou;Trocou;Recebeu;,Sim,Sim
218,Entre 25 e 34 anos,Masculino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Crescimento;,Não,Comprar mais barato,Preco;Qualidade;,Sim,Doou;Recebeu;,Sim,Sim
219,Menos de 18 anos,Feminino,Sao Paulo,"Classe D/E: até R$ 2,9 mil",Não,Nao tem filhos,Preco;Qualidade;Crescimento;,Sim,Comprar mais barato,Preco;Qualidade;,Sim,Doou;Trocou;Recebeu;,Sim,Não
220,Entre 54 e 59 anos,Masculino,Sao Paulo,Classe A: superior a R$ 22 mil,Sim,Entre 25 e 34 anos;Entre 35 e 44 anos;,Preço;,Não,Comprar mais barato,Qualidade;,Não,Doou;,Sim,Não
221,Entre 45 e 54 anos,Masculino,São Bernardo do Campo,Classe A: superior a R$ 22 mil,Sim,Entre 9 e 14 anos;,Preco;Qualidade;Crescimento;,Não,Comprar mais barato,Preco;Qualidade;,Não,Doou;Trocou;,Não,Sim
222,Entre 54 e 59 anos,Feminino,Sao Paulo,"Classe B: entre R$7,1 mil e R$ 22 mil",Sim,Entre 25 e 34 anos;,Preço;,Não,Comprar mais barato,Preço;,Sim,Doou;,Não,Não
223,Entre 25 e 34 anos,Feminino,Rio de Janeiro,"Classe B: entre R$7,1 mil e R$ 22 mil",Não,Nao tem filhos,Crescimento;,Não,Comprar mais barato,Preco;Qualidade;,Sim,Doou;Recebeu;,Sim,Não
224,Entre 18 e 24 anos,Masculino,Serra - ES,"Classe D/E: até R$ 2,9 mil",Não,Nao tem filhos,Preço;,Não,Comprar mais barato,Qualidade;,Sim,Doou;,Sim,Sim
225,Entre 18 e 24 anos,Feminino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Preco;Qualidade;,Não,Comprar mais barato,Preco;Qualidade;,Sim,Doou;Recebeu;,Sim,Sim
226,Menos de 18 anos,Masculino,Caieiras,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Crescimento;,Não,Comprar mais barato,Preco;Qualidade;,Sim,Doou;Trocou;Recebeu;,Sim,Sim
227,Entre 35 e 44 anos,Masculino,Sao Paulo,"Classe B: entre R$7,1 mil e R$ 22 mil",Sim,Menos de 8 anos;,Preco;Qualidade;Crescimento;,Não,Comprar mais barato,Preco;Crescimento;,Não,Doou;Trocou;Recebeu;,Sim,Sim
228,Entre 35 e 44 anos,Masculino,Salvador,"Classe B: entre R$7,1 mil e R$ 22 mil",Sim,Menos de 8 anos;,Qualidade;Crescimento;,Não,Comprar mais barato,Preco;Qualidade;,Sim,Doou;Recebeu;,Sim,Sim
229,Entre 35 e 44 anos,Feminino,Sao Paulo,"Classe B: entre R$7,1 mil e R$ 22 mil",Sim,Menos de 8 anos;,Preço;,Não,Comprar mais barato,Preço;,Sim,Doou;,Sim,Sim
230,60+,Masculino,Sao Paulo,"Classe B: entre R$7,1 mil e R$ 22 mil",Sim,Entre 25 e 34 anos;,Preço;,Não,Comprar mais barato,Preço;,Sim,Doou;,Sim,Sim
231,Menos de 18 anos,Prefiro não me identificar,Osasco,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Preco;Qualidade;Crescimento;,Não,Comprar mais barato,Preco;Qualidade;Crescimento;,Sim,Doou;Trocou;Recebeu;,Não,Sim
